,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,maven_id,labels,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,new_addition
105,sparta,Stratio/sparta,bigdata,https://github.com/Stratio/sparta,https://github.com/Stratio/sparta,Apache-2.0,2015-02-04 08:04:40,2019-10-24 06:32:21,2019-10-24 06:28:20,3643,,194.0,138,1360.0,9.0,534.0,525,2017-05-31 09:56:04,1.5.0,,,61.0,Real Time Analytics and Data Pipelines based on Spark Streaming.,,,41.0,19,False,3,,,,,,,
106,scribe,outr/scribe,toolkits,https://github.com/outr/scribe,https://github.com/outr/scribe,MIT,2016-01-26 15:49:14,2023-09-28 00:56:15,2023-09-10 15:05:33,1320,55.0,38.0,9,358.0,15.0,141.0,478,2023-09-01 13:07:57,3.12.2,,,42.0,The fastest logging library in the world. Built from scratch in Scala and programmatically configurable.,,,18.0,19,True,2,,"['scala3', 'scalajs']",,,,,
107,jawn,typelevel/jawn,json,https://github.com/typelevel/jawn,https://github.com/typelevel/jawn,MIT,2012-10-01 02:04:45,2023-09-26 17:31:36,2023-08-04 12:50:36,1252,17.0,71.0,20,508.0,13.0,56.0,432,2023-06-26 15:47:24,1.5.1,,,22.0,Jawn is for parsing jay-sawn (JSON).,,,48.0,19,True,2,,"['scala3', 'scalajs']",,,,,
108,endpoints4s,endpoints4s/endpoints4s,http,https://github.com/endpoints4s/endpoints4s,https://github.com/endpoints4s/endpoints4s,MIT,2016-04-25 12:48:00,2023-09-18 15:22:09,2023-09-16 16:47:12,1545,8.0,93.0,13,1008.0,37.0,167.0,400,2023-05-18 07:15:05,1.10.0,,,29.0,"Describe HTTP endpoints in Scala and derive clients, servers, and documentation.",,,59.0,19,True,2,,"['scala3', 'scalajs']",,,,,
109,zio-json,zio/zio-json,json,https://github.com/zio/zio-json,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04,2023-09-27 00:04:13,2023-09-04 17:15:25,567,13.0,120.0,22,882.0,76.0,83.0,390,2023-09-05 12:29:10,0.6.2,,,32.0,"Fast, secure JSON library with tight ZIO integration.",,,57.0,19,True,2,,"['zio', 'scala3', 'scalajs']",,,,,
110,sbt-microsites,47degrees/sbt-microsites,sbt,https://github.com/47degrees/sbt-microsites,https://github.com/47degrees/sbt-microsites,Apache-2.0,2016-09-05 23:33:02,2023-09-20 05:20:57,2023-09-20 05:20:55,1260,21.0,61.0,47,644.0,18.0,121.0,316,2023-03-28 17:15:43,1.4.3,,,78.0,An sbt plugin to create awesome microsites for your project.,,,75.0,19,True,2,,,,,,,
111,cornichon,agourlay/cornichon,test,https://github.com/agourlay/cornichon,https://github.com/agourlay/cornichon,Apache-2.0,2015-07-27 09:14:49,2023-09-28 18:05:40,2023-09-28 18:05:33,3251,58.0,29.0,12,652.0,21.0,134.0,225,2023-07-08 06:59:00,0.21.0,,,74.0,Testing tool in Scala for HTTP JSON API.,,,18.0,19,True,2,,,,,,,
112,play-ws,playframework/play-ws,http,https://github.com/playframework/play-ws,https://github.com/playframework/play-ws,Apache-2.0,2016-12-07 23:00:14,2023-09-28 03:36:17,2023-09-21 12:59:13,1019,60.0,84.0,14,657.0,72.0,75.0,216,2023-09-19 21:45:33,2.2.2,,,17.0,"Standalone Play WS, an async HTTP client with fluent API.",,,48.0,19,True,2,,"['scala3', 'play']",,,,,
113,stryker4s,stryker-mutator/stryker4s,test,https://github.com/stryker-mutator/stryker4s,https://github.com/stryker-mutator/stryker4s,Apache-2.0,2018-06-20 14:14:40,2023-09-27 10:40:31,2023-09-26 19:41:15,1305,51.0,29.0,8,1261.0,34.0,125.0,185,2022-01-03 16:34:16,0.14.3,,,38.0,Mutation testing for Scala.,,,31.0,19,True,2,,['scala3'],,,,,
114,neotypes,neotypes/neotypes,db-clients,https://github.com/neotypes/neotypes,https://github.com/neotypes/neotypes,MIT,2018-11-11 19:33:08,2023-09-26 19:14:35,2023-09-26 19:14:35,1200,99.0,31.0,7,630.0,15.0,52.0,155,2023-06-04 20:33:02,0.23.3,,,17.0,"Scala lightweight, type-safe, asynchronous driver for neo4j.",,,15.0,19,True,2,,,,,,,
115,scalatra,scalatra/scalatra,web-frameworks,https://github.com/scalatra/scalatra,https://github.com/scalatra/scalatra,,2009-05-31 09:20:32,2023-09-26 13:14:16,2023-09-24 08:34:45,3972,32.0,340.0,83,1142.0,70.0,373.0,2620,,,,,,"Tiny Scala high-performance, async web framework, inspired by Sinatra.",,,135.0,18,False,3,,['scala3'],,,,,
116,better-files,pathikrit/better-files,toolkits,https://github.com/pathikrit/better-files,https://github.com/pathikrit/better-files,MIT,2015-09-12 03:48:31,2023-09-27 21:44:11,2023-02-17 17:30:13,1085,,149.0,38,421.0,36.0,177.0,1466,,,,,,"Simple, safe and intuitive Scala I/O.",,,60.0,18,True,3,,['scala3'],,,,,
117,enumeratum,lloydmeta/enumeratum,toolkits,https://github.com/lloydmeta/enumeratum,https://github.com/lloydmeta/enumeratum,MIT,2014-12-05 10:49:34,2023-07-21 04:14:32,2023-07-21 04:13:46,543,6.0,146.0,26,255.0,27.0,97.0,1163,2023-07-21 04:19:06,macros-1.6.4,,,71.0,"A type-safe, reflection-free, powerful enumeration implementation for Scala with exhaustive pattern match warnings and..",,,89.0,18,True,3,,"['scala3', 'scalajs']",,,,,
118,async,scala/scala-async,toolkits,https://github.com/scala/scala-async,https://github.com/scala/scala-async,Apache-2.0,2013-04-01 22:22:27,2023-09-26 18:53:58,2023-09-18 22:27:07,753,7.0,89.0,57,244.0,13.0,75.0,1136,2021-09-09 21:50:20,1.0.1,,,21.0,An asynchronous programming facility for Scala.,,,28.0,18,True,3,,['scalajs'],,,,,
