,name,github_id,maven_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,updated_github_id
44,scalding,twitter/scalding,,bigdata,,https://github.com/twitter/scalding,https://github.com/twitter/scalding,Apache-2.0,2012-01-10 16:22:08,2023-05-28 19:18:59,2023-05-28 19:18:59,4195.0,,707.0,318.0,1384.0,316.0,329.0,3515,2017-12-22 20:23:36,0.17.4,17.0,A Scala API for Cascading.,212.0,22,,,,,False,2,,,,,
45,finatra,twitter/finatra,,web-frameworks,,https://github.com/twitter/finatra,https://github.com/twitter/finatra,Apache-2.0,2012-02-16 23:55:29,2025-04-21 03:10:58,2025-04-21 03:10:57,2660.0,5.0,410.0,209.0,267.0,16.0,309.0,2269,2022-12-26 14:40:15,finatra-22.12.0,92.0,"Fast, testable, Scala services built on TwitterServer and Finagle.",260.0,22,,,,,True,1,,,,,
46,scalacheck,typelevel/scalacheck,,test,"['scala3', 'scalajs']",https://github.com/typelevel/scalacheck,https://github.com/typelevel/scalacheck,BSD-3-Clause,2011-05-26 11:44:12,2025-03-20 16:32:41,2025-03-20 16:32:39,2210.0,14.0,407.0,56.0,760.0,68.0,291.0,1949,2024-09-15 19:14:39,1.18.1,13.0,Property-based testing for Scala.,147.0,22,,,,,True,1,,,,,
47,Monocle,optics-dev/monocle,,toolkits,"['scala3', 'scalajs']",https://github.com/optics-dev/Monocle,https://github.com/optics-dev/Monocle,MIT,2014-01-17 19:49:22,2025-04-22 22:12:12,2025-04-22 22:00:39,2248.0,12.0,206.0,53.0,1127.0,51.0,334.0,1668,2024-08-09 09:12:26,3.3.0,10.0,Optics library for Scala.,126.0,22,,,,,True,2,,,,,
48,skunk,typelevel/skunk,,db-clients,"['scala3', 'scalajs']",https://github.com/typelevel/skunk,https://github.com/typelevel/skunk,MIT,2018-09-21 06:46:41,2025-04-23 20:56:52,2025-03-25 19:13:54,2167.0,59.0,165.0,28.0,1045.0,92.0,71.0,1610,2024-05-11 13:18:29,0.6.4,40.0,A data access library for Scala + Postgres.,92.0,22,,,,,True,2,,,,,
49,finch,finagle/finch,,http,,https://github.com/finagle/finch,https://github.com/finagle/finch,Apache-2.0,2014-04-15 12:17:44,2025-04-20 16:47:43,2025-04-20 16:47:43,2409.0,18.0,221.0,59.0,1361.0,42.0,369.0,1605,2022-09-16 18:19:38,0.34.0,61.0,Scala combinator library for building Finagle HTTP services.,128.0,22,,,,,True,2,,,,,
50,akka-http,akka/akka-http,,http,['scala3'],https://github.com/akka/akka-http,https://github.com/akka/akka-http,,2016-08-19 11:33:36,2025-04-23 14:30:26,2025-04-23 14:30:24,4526.0,11.0,595.0,71.0,2508.0,580.0,1393.0,1336,2024-10-17 12:56:37,10.7.0,66.0,The Streaming-first HTTP server/module of Akka.,359.0,22,,,,,False,2,,,,1.0,
51,chimney,scalalandio/chimney,,toolkits,"['scala3', 'scalajs']",https://github.com/scalalandio/chimney,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09,2025-04-20 19:51:16,2025-04-20 19:51:16,1531.0,72.0,101.0,19.0,491.0,9.0,204.0,1209,2025-02-08 20:30:55,1.7.3,43.0,"Scala library for boilerplate-free, type-safe data transformations.",42.0,22,,,,,True,2,,,,,
52,scalafix,scalacenter/scalafix,,development-cycle,['scalajs'],https://github.com/scalacenter/scalafix,https://github.com/scalacenter/scalafix,BSD-3-Clause,2016-08-08 11:45:19,2025-04-20 09:37:22,2025-04-20 09:34:43,3990.0,90.0,186.0,27.0,1530.0,75.0,636.0,849,2025-02-20 00:28:52,0.14.2,75.0,Refactoring and linting tool for Scala.,111.0,22,,,,,True,3,,39.0,0.0,,
53,slick-pg,tminglei/slick-pg,,db-clients,,https://github.com/tminglei/slick-pg,https://github.com/tminglei/slick-pg,BSD-2-Clause,2013-05-09 15:57:40,2025-03-18 05:40:14,2025-03-18 05:40:13,1362.0,24.0,180.0,22.0,378.0,115.0,279.0,841,2025-03-15 14:25:53,0.23.0,95.0,Slick extensions for PostgreSQL.,96.0,22,,,,,True,2,,,,,
54,nussknacker,touk/nussknacker,,bigdata,,https://github.com/TouK/nussknacker,https://github.com/TouK/nussknacker,Apache-2.0,2017-06-29 14:09:57,2025-04-24 17:09:53,2025-04-24 09:16:35,7235.0,182.0,95.0,36.0,7502.0,101.0,402.0,683,2024-11-22 14:01:13,1.18.0,53.0,Low-code tool for automating actions on real time data | Stream processing for the users.,85.0,22,,,,,True,2,,567.0,6.0,-1.0,
55,scalaxb,eed3si9n/scalaxb,,http,,https://github.com/eed3si9n/scalaxb,https://github.com/eed3si9n/scalaxb,MIT,2010-02-05 05:50:50,2025-03-14 03:30:17,2025-03-14 03:30:14,1385.0,13.0,158.0,22.0,240.0,161.0,290.0,338,2025-02-06 04:40:32,1.12.2,23.0,scalaxb is an XML data binding tool for Scala.,70.0,22,,,,,True,2,,,,,
56,spark-notebook,spark-notebook/spark-notebook,,sci,,https://github.com/spark-notebook/spark-notebook,https://github.com/spark-notebook/spark-notebook,Apache-2.0,2014-09-05 19:35:25,2023-05-16 16:06:37,2021-03-30 08:57:25,2326.0,,654.0,187.0,484.0,208.0,307.0,3149,2017-07-23 14:44:02,0.8.3,18.0,Interactive and Reactive Data Science using Scala and Spark.,84.0,21,,,,,False,2,,,,,
57,util,twitter/util,,toolkits,['scala3'],https://github.com/twitter/util,https://github.com/twitter/util,Apache-2.0,2011-03-26 01:23:21,2025-04-21 03:10:33,2025-04-21 03:10:32,3145.0,4.0,583.0,224.0,197.0,14.0,111.0,2717,2022-12-26 14:38:56,util-22.12.0,81.0,Wonderful reusable code from Twitter.,323.0,21,,,,,True,2,,,,,
58,lagom,lagom/lagom,,distributed,,https://github.com/lagom/lagom,https://github.com/lagom/lagom,Apache-2.0,2016-02-23 01:51:06,2023-08-14 13:43:48,2023-08-14 13:43:48,2427.0,,634.0,147.0,2275.0,455.0,642.0,2633,2021-12-14 11:16:46,1.6.7,49.0,Reactive Microservices for the JVM.,149.0,21,,,,,False,2,,,,,
59,spray-json,spray/spray-json,io.spray:spray-json_2.13,json,,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2024-01-10 20:17:55,2021-12-09 19:21:31,331.0,,564.0,36.0,155.0,97.0,116.0,2508,2020-11-11 13:05:44,1.3.6,3.0,"A lightweight, clean and simple JSON implementation in Scala.",48.0,21,https://search.maven.org/artifact/io.spray/spray-json_2.13,2020-11-10 13:18:28,155.0,155.0,False,2,,,,,
60,algebird,twitter/algebird,,sci,,https://github.com/twitter/algebird,https://github.com/twitter/algebird,Apache-2.0,2012-08-02 17:24:42,2024-08-19 21:31:41,2024-02-24 18:39:07,1905.0,,345.0,230.0,969.0,108.0,172.0,2295,2023-07-10 21:51:16,0.13.10,30.0,Abstract Algebra for Scala.,116.0,21,,,,,True,2,,,,,
