,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,labels,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
159,sbt-header,sbt/sbt-header,sbt,https://github.com/sbt/sbt-header,https://github.com/sbt/sbt-header,Apache-2.0,2015-02-05 16:25:45,2023-07-28 15:57:44,2023-06-07 08:14:12,320,,53.0,10,229.0,10.0,77.0,191,2023-06-07 11:27:41,5.10.0,,,24.0,"sbt-header is an sbt plugin for creating file headers, e.g. copyright headers.",,,38.0,17,True,2,,,,,,
160,openmole,openmole/openmole,sci,https://github.com/openmole/openmole,https://github.com/openmole/openmole,AGPL-3.0,2014-10-08 09:37:00,2023-09-07 15:14:38,2023-09-07 15:11:58,13946,148.0,34.0,18,106.0,78.0,366.0,135,2017-01-24 22:47:01,6.2,56.0,0.0,4.0,Workflow engine for exploration of simulation models using high throughput computing.,,,48.0,17,True,2,,,,,,
161,pekko-http,apache/incubator-pekko-http,http,https://github.com/apache/incubator-pekko-http,https://github.com/apache/incubator-pekko-http,Apache-2.0,2022-10-31 08:43:27,2023-09-07 15:08:19,2023-09-07 08:48:00,4536,110.0,20.0,21,258.0,15.0,46.0,112,,,,,,The Streaming-first HTTP server/module of Apache Pekko.,,,356.0,17,True,3,,['scala3'],,,,
162,scopt,scopt/scopt,others,https://github.com/scopt/scopt,https://github.com/scopt/scopt,,2012-03-18 19:27:17,2023-04-14 06:22:04,2023-04-14 06:22:04,491,,164.0,37,176.0,57.0,116.0,1415,2022-07-02 20:30:57,4.1.0,,,17.0,command line options parsing for Scala.,,,62.0,16,False,2,,"['scala3', 'scalajs']",,,,
163,tensorflow_scala,eaplatanios/tensorflow_scala,sci,https://github.com/eaplatanios/tensorflow_scala,https://github.com/eaplatanios/tensorflow_scala,Apache-2.0,2017-04-01 18:00:29,2022-06-22 21:53:34,2022-06-22 21:50:29,2260,,99.0,70,51.0,29.0,120.0,927,2020-10-08 19:13:41,0.5.6,,,11.0,TensorFlow API for the Scala Programming Language.,,,12.0,16,True,2,,,,,,
164,rxscala,reactivex/rxscala,reactive,https://github.com/ReactiveX/RxScala,https://github.com/ReactiveX/RxScala,Apache-2.0,2014-08-19 03:45:33,2020-01-08 16:00:38,2019-12-29 15:39:19,857,,116.0,59,122.0,2.0,85.0,888,2019-12-29 15:41:19,0.27.0,,,15.0,RxScala Reactive Extensions for Scala a library for composing asynchronous and event-based programs using observable..,,,44.0,16,False,2,,,,,,
165,figaro,charles-river-analytics/figaro,sci,https://github.com/charles-river-analytics/figaro,https://github.com/charles-river-analytics/figaro,,2013-08-14 18:13:17,2022-06-01 16:25:49,2022-06-01 16:25:48,1478,,158.0,84,303.0,122.0,332.0,756,2017-08-24 18:00:35,5.0.0.0,1510.0,13.0,16.0,Figaro Programming Language and Core Libraries.,,,29.0,16,False,2,,,,,,
166,scalastyle,scalastyle/scalastyle,development-cycle,https://github.com/scalastyle/scalastyle,https://github.com/scalastyle/scalastyle,Apache-2.0,2011-10-20 19:26:37,2022-09-16 09:23:16,2019-03-04 20:14:47,629,,219.0,31,148.0,82.0,149.0,680,,,,,,scalastyle.,,,70.0,16,False,3,,,,,,
167,testcontainers-scala,testcontainers/testcontainers-scala,test,https://github.com/testcontainers/testcontainers-scala,https://github.com/testcontainers/testcontainers-scala,MIT,2017-01-16 08:12:30,2023-08-29 14:27:16,2023-08-29 14:02:27,664,14.0,114.0,20,160.0,31.0,71.0,588,2019-06-23 16:51:16,0.27.0,,,1.0,Docker containers for testing in scala.,,,76.0,16,True,3,,['scala3'],,,,
168,scala-oauth2-provider,nulab/scala-oauth2-provider,sec,https://github.com/nulab/scala-oauth2-provider,https://github.com/nulab/scala-oauth2-provider,MIT,2013-09-17 11:19:40,2023-01-18 10:13:33,2022-02-10 15:13:00,254,,101.0,61,85.0,4.0,62.0,534,2019-08-09 09:45:14,1.5.0,,,27.0,OAuth 2.0 server-side implementation written in Scala.,,,27.0,16,False,2,,,,,,
169,xitrum,xitrum-framework/xitrum,web-frameworks,https://github.com/xitrum-framework/xitrum,https://github.com/xitrum-framework/xitrum,MIT,2010-07-19 22:58:50,2023-02-28 06:06:49,2023-02-28 06:06:46,2082,,52.0,39,36.0,56.0,600.0,449,,,,,,Async and clustered Scala web framework and HTTP(S) server.,,,31.0,16,True,3,,,,,,
