,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,maven_id,maven_url,new_addition,dependent_project_count,github_dependent_project_count,updated_github_id,trending,labels
43,spray-json,spray/spray-json,json,https://github.com/spray/spray-json,https://github.com/spray/spray-json,Apache-2.0,2011-05-06 21:31:38,2022-09-15 12:08:33,2021-12-09 19:21:31,331,,187.0,37,154.0,82.0,116.0,971,2020-11-11 13:05:44,1.3.6,3.0,"A lightweight, clean and simple JSON implementation in Scala.",48.0,20,True,1,,,io.spray:spray-json_2.13,https://search.maven.org/artifact/io.spray/spray-json_2.13,,143.0,143.0,,,
44,chimney,scalalandio/chimney,toolkits,https://github.com/scalalandio/chimney,https://github.com/scalalandio/chimney,Apache-2.0,2017-05-23 11:24:09,2023-03-29 13:54:46,2023-03-22 13:00:18,403,47.0,69.0,21,159.0,36.0,97.0,959,2023-03-22 17:43:55,0.7.2,13.0,"Scala library for boilerplate-free, type-safe data transformations.",24.0,20,True,2,,,,,,,,,,
45,scrimage,sksamuel/scrimage,media,https://github.com/sksamuel/scrimage,https://github.com/sksamuel/scrimage,Apache-2.0,2013-06-03 16:40:25,2023-03-26 00:15:09,2023-03-26 00:10:23,1282,9.0,129.0,46,80.0,4.0,181.0,944,2023-03-26 00:17:29,4.0.34,23.0,"Java, Scala and Kotlin image processing library.",53.0,20,True,1,,,,,True,,,,,
46,ReactiveMongo,ReactiveMongo/ReactiveMongo,db-clients,https://github.com/ReactiveMongo/ReactiveMongo,https://github.com/ReactiveMongo/ReactiveMongo,Apache-2.0,2012-07-20 14:24:46,2023-04-02 14:44:50,2023-04-02 14:44:50,1318,14.0,224.0,56,828.0,14.0,363.0,838,2020-01-03 02:08:23,0.20.0,1.0,"Non-blocking, Reactive MongoDB Driver for Scala.",87.0,20,True,2,,,,,,,,,,
47,jsoniter-scala,plokhotnyuk/jsoniter-scala,json,https://github.com/plokhotnyuk/jsoniter-scala,https://github.com/plokhotnyuk/jsoniter-scala,MIT,2017-09-26 14:47:09,2023-04-05 11:30:44,2023-04-05 11:30:50,4235,144.0,75.0,20,741.0,50.0,219.0,639,2023-03-28 09:59:49,2.22.1,100.0,Scala macros for compile-time generation of safe and ultra-fast JSON codecs.,18.0,20,True,1,,,,,,1.0,1.0,,,
48,sbt-scoverage,scoverage/sbt-scoverage,sbt,https://github.com/scoverage/sbt-scoverage,https://github.com/scoverage/sbt-scoverage,Apache-2.0,2014-05-16 00:58:21,2023-03-29 05:27:27,2023-03-29 05:27:27,728,6.0,149.0,29,230.0,35.0,218.0,620,2023-02-10 11:14:07,2.0.7,35.0,sbt plugin for scoverage.,71.0,20,True,1,,,,,,,,,,
49,endpoints4s,endpoints4s/endpoints4s,http,https://github.com/endpoints4s/endpoints4s,https://github.com/endpoints4s/endpoints4s,MIT,2016-04-25 12:48:00,2023-03-24 15:02:23,2023-03-15 20:51:28,1514,26.0,89.0,13,957.0,27.0,165.0,395,2022-11-25 09:05:24,1.9.0,28.0,"Describe HTTP endpoints in Scala and derive clients, servers, and documentation.",59.0,20,True,3,,,,,True,,,,,
50,zio-json,zio/zio-json,json,https://github.com/zio/zio-json,https://github.com/zio/zio-json,Apache-2.0,2020-07-03 16:46:04,2023-04-05 02:55:46,2023-03-31 06:17:32,533,48.0,108.0,23,784.0,60.0,79.0,376,2023-03-18 14:43:34,0.5.0,29.0,"Fast, secure JSON library with tight ZIO integration.",52.0,20,True,1,,,,,,,,,,['zio']
51,sbt-microsites,47degrees/sbt-microsites,sbt,https://github.com/47degrees/sbt-microsites,https://github.com/47degrees/sbt-microsites,Apache-2.0,2016-09-05 23:33:02,2023-03-29 05:23:18,2023-03-29 05:23:16,1227,16.0,62.0,47,607.0,18.0,121.0,314,2023-03-28 17:15:43,1.4.3,78.0,An sbt plugin to create awesome microsites for your project.,71.0,20,True,1,,,,,,,,,,
52,better-files,pathikrit/better-files,toolkits,https://github.com/pathikrit/better-files,https://github.com/pathikrit/better-files,MIT,2015-09-12 03:48:31,2023-03-30 20:49:32,2023-02-17 17:30:13,1085,93.0,142.0,37,391.0,34.0,176.0,1453,,,,"Simple, safe and intuitive Scala I/O.",60.0,19,True,2,,,,,,,,,,
