,name,github_id,maven_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,maven_url,maven_latest_release_published_at,dependent_project_count,maven_dependent_project_count,show,projectrank_placing,new_addition,trending,github_dependent_project_count,updated_github_id,labels,github_release_downloads,monthly_downloads
45,longevity,longevityframework/longevity,,db-clients,https://github.com/longevityframework/longevity,https://github.com/longevityframework/longevity,,2014-12-17 02:50:13,2018-07-06 02:43:27,2018-07-06 02:43:18,1216,,5,12,8.0,36.0,4.0,103,2018-07-01 17:41:25,0.27.0,35.0,A Persistence Framework for Scala and NoSQL.,3,10,,,,,False,3,True,,,,,,
46,pushka,fomkin/pushka,,json,https://github.com/fomkin/pushka,https://github.com/fomkin/pushka,Apache-2.0,2015-08-19 06:24:31,2019-06-12 09:24:40,2016-11-24 20:47:45,88,,9,7,26.0,10.0,25.0,81,,,14.0,ABANDONED Pure Scala serialization library with annotations.,6,10,,,,,False,3,,,,,,,
47,scurl-detector,lambdaworks/scurl-detector,io.lambdaworks:scurl-detector_2.13,misc,https://github.com/lambdaworks/scurl-detector,https://github.com/lambdaworks/scurl-detector,Apache-2.0,2021-06-08 09:33:41,2023-02-24 08:54:26,2023-02-01 21:29:37,71,5.0,1,8,62.0,1.0,9.0,15,2023-01-31 11:49:03,1.0.1,2.0,Scala library that detects and extracts URLs from text.,5,10,https://search.maven.org/artifact/io.lambdaworks/scurl-detector_2.13,2023-01-31 11:49:03,,,True,3,,,,,,,
48,lucene4s,outr/lucene4s,,db-clients,https://github.com/outr/lucene4s,https://github.com/outr/lucene4s,MIT,2016-10-11 18:40:58,2021-07-18 01:06:33,2021-05-17 19:36:10,153,,18,7,16.0,2.0,7.0,53,,,,Light-weight convenience wrapper around Lucene to simplify complex tasks and add Scala sugar.,5,9,,,,,True,3,True,,,,,,
49,ReactiveCouchbase-rs-core,ReactiveCouchbase/ReactiveCouchbase-rs-core,,db-clients,https://github.com/ReactiveCouchbase/reactivecouchbase-rs-core,https://github.com/ReactiveCouchbase/reactivecouchbase-rs-core,Apache-2.0,2017-02-08 08:16:45,2018-04-23 09:37:17,2018-04-23 09:35:53,131,,10,7,13.0,8.0,11.0,27,2017-09-29 15:00:23,1.0.0,1.0,New ReactiveCouchbase driver using reactive-streams.,8,9,,,,,False,3,True,,,,,,
50,akka-persistence-gcp-datastore,innFactory/akka-persistence-gcp-datastore,,db-clients,https://github.com/innFactory/akka-persistence-gcp-datastore,https://github.com/innFactory/akka-persistence-gcp-datastore,Apache-2.0,2019-11-29 19:52:00,2023-03-10 22:50:13,2022-03-15 00:18:23,292,,3,3,174.0,1.0,,20,,,,akka-persistence-gcp-datastore is a journal and snapshot store plugin for akka-persistence using google cloud..,4,9,,,,,True,3,True,,,,,,
51,scountries,lambdaworks/scountries,io.lambdaworks:scountries,misc,https://github.com/lambdaworks/scountries,https://github.com/lambdaworks/scountries,Apache-2.0,2022-09-02 11:48:45,2023-03-09 13:41:05,2023-03-09 13:41:05,32,5.0,1,8,23.0,,,17,2023-01-31 11:52:49,0.1.1,1.0,"Scala library that provides an enumeration of ISO 3166 codes for countries, along with their subdivisions.",3,9,https://search.maven.org/artifact/io.lambdaworks/scountries,,,,True,3,,,,,,,
52,shade,alexandru/shade,,db-clients,https://github.com/monix/shade,https://github.com/monix/shade,MIT,2013-06-24 11:30:05,2021-03-18 23:25:57,2018-03-24 04:39:05,133,,18,11,43.0,9.0,15.0,108,,,,Memcached client for Scala.,12,8,,,,,False,3,True,,,monix/shade,,,
53,morpheus,outworkers/morpheus,,db-clients,https://github.com/outworkers/morpheus,https://github.com/outworkers/morpheus,,2015-09-03 10:48:15,2019-06-12 10:57:50,2019-06-12 10:57:47,217,,4,5,18.0,,,101,2016-04-11 09:47:33,"org=com.websudos,name=morpheus,version=0.2.7",2.0,Reactive type-safe Scala driver for SQL databases.,5,8,,,,,False,3,True,,,,,,
54,molecule,scalamolecule/molecule,,db-clients,https://github.com/scalamolecule/molecule,https://github.com/scalamolecule/molecule,,2014-07-01 23:57:41,2022-05-02 13:01:22,2022-05-02 12:59:42,721,,3,6,,,23.0,68,2022-01-15 15:51:59,1.1.0,56.0,Non-blocking asynchronous domain-customizable database query language for Scala and Scala.js against the Datomic..,1,8,,,,,False,3,True,,,,,4.0,0.0
55,scalarelational,outr/scalarelational,,db-clients,https://github.com/outr/scalarelational,https://github.com/outr/scalarelational,,2013-11-01 17:14:15,2019-03-06 15:28:00,2019-03-06 15:27:46,520,,9,12,39.0,15.0,49.0,58,,,,"Type-Safe framework for defining, modifying, and querying SQL databases.",7,8,,,,,False,3,True,,,,,,
56,ninny-json,nrktkt/ninny-json,,json,https://github.com/nrktkt/ninny-json,https://github.com/nrktkt/ninny-json,Unlicense,2020-07-10 17:01:21,2023-02-23 01:02:32,2023-01-12 01:12:25,93,1.0,4,2,45.0,4.0,3.0,20,2023-01-12 01:12:50,0.7.3,25.0,JSON typeclasses that know the difference between null and absent fields.,2,8,,,,,True,3,,,,,,,
57,mysql-binlog-stream,laserdisc-io/mysql-binlog-stream,,db-clients,https://github.com/laserdisc-io/mysql-binlog-stream,https://github.com/laserdisc-io/mysql-binlog-stream,,2020-05-16 02:40:53,2023-03-17 09:39:37,2022-10-18 02:27:58,291,,5,4,359.0,1.0,,12,2021-11-12 21:29:58,2.0.0,16.0,,7,8,,,,,False,3,True,,,,,,
58,scala-sql,wangzaixiang/scala-sql,,db-clients,https://github.com/wangzaixiang/scala-sql,https://github.com/wangzaixiang/scala-sql,,2012-05-29 01:09:15,2022-12-02 01:38:57,2022-12-02 01:38:43,125,,19,9,1.0,,2.0,88,2019-01-04 03:19:55,2.0.7,3.0,scala SQL api.,5,7,,,,,False,3,True,,,,,,
59,sbt-json,battermann/sbt-json,,json,https://github.com/battermann/sbt-json,https://github.com/battermann/sbt-json,MIT,2017-08-16 16:28:39,2018-05-29 20:34:36,2018-05-29 20:33:52,104,,3,4,6.0,1.0,4.0,31,,,,"sbt plugin that generates Scala case classes for easy, statically typed and implicit access of JSON data e.g. from API..",2,7,,,,,False,3,,,,,,,
60,etcd4s,mingchuno/etcd4s,,db-clients,https://github.com/mingchuno/etcd4s,https://github.com/mingchuno/etcd4s,MIT,2017-11-17 11:26:19,2023-03-16 17:51:13,2022-03-07 09:38:29,84,,4,2,49.0,3.0,1.0,31,,,,Scala etcd client implementing V3 APIs.,4,7,,,,,True,3,True,,,,,,
61,kvs,zero-deps/kvs,,db-clients,https://github.com/zero-deps/kvs,https://github.com/zero-deps/kvs,,2019-08-09 21:21:29,2022-12-22 15:20:07,2022-09-01 22:23:42,770,,2,6,4.0,,11.0,19,2022-06-24 23:03:51,6.1,2.0,Highly available distributed strong eventual consistent and sequentially consistent storage with feeds and search.,16,6,,,,,False,3,True,,,,,,
62,mapperdao,kostaskougios/mapperdao,,db-clients,https://github.com/kostaskougios/mapperdao,https://github.com/kostaskougios/mapperdao,,2015-03-13 23:38:56,2018-05-14 17:34:31,2018-05-14 17:34:27,2004,,4,2,4.0,3.0,6.0,14,,,,A Scala ORM library.,10,6,,,,,False,3,True,,,,,,
63,json,nestorpersist/json,,json,https://github.com/nestorpersist/json,https://github.com/nestorpersist/json,,2012-11-17 19:43:13,2018-03-09 04:32:45,2016-12-16 16:48:10,115,,8,5,10.0,,2.0,11,,,,"Persist-Json, a Fast Json Parser Written in Scala.",2,3,,,,,False,3,,,,,,,
