,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,trending
284,scala-records,scala-records/scala-records,toolkits,['scalajs'],https://github.com/scala-records/scala-records,https://github.com/scala-records/scala-records,BSD-3-Clause,2014-06-17 09:59:57,2019-06-10 22:59:35,2019-06-10 22:59:34,224.0,,14.0,18.0,77.0,19.0,46.0,160.0,,,,,,Labeled records for Scala based on structural refinement types and macros.,11.0,11,False,3.0,,,,,,,,
285,parapet,parapet-io/parapet,distributed,,https://github.com/parapet-io/parapet,https://github.com/parapet-io/parapet,Apache-2.0,2019-07-27 19:08:31,2023-04-30 02:37:57,2023-04-30 02:37:57,326.0,,7.0,10.0,30.0,8.0,18.0,140.0,2022-02-24 07:02:23,0.0.1-RC6,,,5.0,A purely functional library to build distributed and event-driven systems.,7.0,11,False,3.0,,,,,,,,
286,fastring,atry/fastring,env,['scalajs'],https://github.com/Atry/fastring,https://github.com/Atry/fastring,Apache-2.0,2012-11-25 07:09:25,2025-01-05 01:20:18,2024-05-03 07:01:51,533.0,,10.0,6.0,272.0,7.0,4.0,127.0,2018-03-26 01:49:18,1.0.0,,,4.0,Extremely fast string formatting.,7.0,11,False,2.0,,,,,,,,
287,fast-string-interpolator,plokhotnyuk/fast-string-interpolator,env,"['scala3', 'scalajs']",https://github.com/plokhotnyuk/fast-string-interpolator,https://github.com/plokhotnyuk/fast-string-interpolator,Apache-2.0,2018-03-06 17:45:04,2025-03-18 03:22:16,2025-03-18 03:22:16,403.0,,7.0,13.0,348.0,11.0,5.0,92.0,2022-10-13 08:37:27,0.6.3,,,11.0,Scala macro that generates ultra-fast string interpolators.,7.0,11,True,2.0,,,,,,,,
288,fintrospect,daviddenton/fintrospect,http,,https://github.com/daviddenton/fintrospect,https://github.com/daviddenton/fintrospect,Apache-2.0,2015-03-01 20:31:11,2020-08-26 11:42:43,2020-08-26 11:42:38,1752.0,,10.0,6.0,23.0,3.0,26.0,91.0,,,,,,"Implement fast, type-safe HTTP webservices for Finagle.",5.0,11,False,3.0,,,,,,,,
289,franklin,azavea/franklin,others,,https://github.com/azavea/franklin,https://github.com/azavea/franklin,Apache-2.0,2019-11-05 11:43:39,2025-10-31 14:31:17,2025-10-31 14:31:17,1300.0,,18.0,10.0,1766.0,109.0,102.0,84.0,,,,,,A STAC/OGC API Features Web Service.,13.0,11,True,3.0,,,,,,,,
290,couchdb-scala,beloglazov/couchdb-scala,db-clients,,https://github.com/beloglazov/couchdb-scala,https://github.com/beloglazov/couchdb-scala,Apache-2.0,2015-01-15 23:10:06,2018-11-13 12:48:24,2017-08-05 07:34:18,236.0,,17.0,5.0,33.0,18.0,31.0,64.0,2016-05-08 00:58:39,0.7.2,,,7.0,A purely functional Scala client for CouchDB.,2.0,11,False,3.0,,,,,,,,
291,scowl,phenoscape/scowl,others,['scala3'],https://github.com/phenoscape/scowl,https://github.com/phenoscape/scowl,MIT,2013-05-10 18:08:52,2024-07-10 18:34:34,2022-03-30 19:07:24,243.0,,9.0,8.0,175.0,8.0,4.0,59.0,2022-03-30 16:58:35,1.4.1,,,9.0,A Scala DSL for programming with the OWL API.,3.0,11,False,3.0,,,,,,,,
292,otavia,otavia-projects/otavia,reactive,['scala3'],https://github.com/otavia-projects/otavia,https://github.com/otavia-projects/otavia,Apache-2.0,2022-10-01 15:15:59,2024-10-21 13:50:45,2024-10-21 13:42:50,573.0,,4.0,2.0,,,,50.0,2024-09-16 16:21:02,0.4.5,,,11.0,Your shiny new IO & Actor programming model!.,1.0,11,True,3.0,15.0,,cc.otavia:otavia-runtime_3,https://search.maven.org/artifact/cc.otavia/otavia-runtime_3,2024-09-15 09:19:26,15.0,,
293,otavia-runtime,otavia-projects/otavia,di,['scala3'],https://github.com/otavia-projects/otavia,https://github.com/otavia-projects/otavia,Apache-2.0,2022-10-01 15:15:59,2024-10-21 13:50:45,2024-10-21 13:42:50,573.0,,4.0,2.0,,,,50.0,2024-09-16 16:21:02,0.4.5,,,11.0,Your shiny new IO & Actor programming model!.,1.0,11,True,3.0,15.0,,cc.otavia:otavia-runtime_3,https://search.maven.org/artifact/cc.otavia/otavia-runtime_3,2024-09-15 09:19:26,15.0,,
